timestamp,laplacian_variance,blur_bool,entropy,brightness,contrast,brightness_contrast_ratio,disparity_mean,disparity_var,disparity_std,disparity_min,disparity_max,w_x,w_y,w_z,a_x,a_y,a_z,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,b_vx,b_vy,b_vz, b_ax,b_ay,b_az
1.40371527421214E+018,366.813942984677,False,6.9752874,145.462355939716,52.9246967635803,2.74847783426159,3.41993070561835,141.560203792278,11.8979075383984,0,111,-0.013962634015955,0.020943951023932,0.074700091985357,8.96491254166667,1.46282529166667,-3.849110125,0.878658,2.142398,0.947252,0.060571,-0.828433,-0.059051,-0.553664,0.009056,-0.015066,-0.001741,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527426214E+018,368.773620333465,False,6.9743643,145.51484097961,52.9043076213651,2.75052916335388,3.3942517869016,140.444196785278,11.8509154408121,0,111,-0.004188790204786,-0.001396263401595,0.086568330898919,9.242767625,0.588399,-3.86545454166667,0.878612,2.14247,0.947262,0.060514,-0.828459,-0.058956,-0.553641,0.009474,-0.014009,-0.002145,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527431214E+018,368.376210344179,False,6.9764476,145.385433289007,52.9025495512784,2.74817441734231,3.40390642314938,139.281681839693,11.8017660474902,0,111,0.002792526803191,0.037699111843078,0.07400196028456,8.83415720833333,0.6864655,-3.66932154166667,0.878703,2.142317,0.947242,0.0606,-0.828405,-0.0591,-0.553697,0.00882,-0.017332,-0.002013,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527436214E+018,369.866048494823,False,6.974498,145.522235150709,52.8910610954941,2.75135783129725,3.45015046681073,141.552772261252,11.8975952301821,0,111,0.000698131700798,0.010471975511966,0.073303828583762,9.07932345833333,0.694637708333333,-3.80824908333333,0.879045,2.141483,0.947123,0.060489,-0.828362,-0.059011,-0.553783,0.005432,-0.014528,-0.002452,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527441214E+018,345.674886269954,False,6.9713116,145.581787455674,52.8934813227635,2.75235782964092,3.40667785211658,142.257144523073,11.927159952104,0,111,-0.121474915938805,0.030019663134303,0.097040306410885,8.87501825,0.130755333333333,-3.59577166666667,0.879311,2.140846,0.947051,0.060441,-0.828429,-0.059037,-0.553685,0.005575,-0.021072,-2.1E-05,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527446214E+018,359.076451108184,False,6.972733,145.750141289894,52.9032042568987,2.75503428076169,3.41174645390071,140.711384120742,11.8621829407888,0,111,-0.075398223686155,0.018151424220741,0.100530964914873,8.97308475,-0.236994041666667,-3.57942725,0.87951,2.140426,0.947015,0.060456,-0.828404,-0.058848,-0.55374,0.004095,-0.014668,-0.000776,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527451214E+018,362.49452570615,False,6.9722233,145.576911569149,52.9091996492784,2.75144800023703,3.53860278839761,145.435025221604,12.0596444898514,0,111,-0.060737457969403,0.01535889741755,0.072605696882964,9.35717854166667,0.114410916666667,-3.86545454166667,0.879664,2.140171,0.947007,0.060407,-0.828354,-0.0592,-0.553783,0.002408,-0.009325,5E-05,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527456214E+018,368.831075430972,False,6.9740343,145.601720412234,52.9142976150852,2.75165176473447,3.44593133588209,142.71227794796,11.9462244223001,0,111,-0.025830872929516,0.016057029118348,0.076096355386953,9.022118,0.375921583333333,-3.57125504166667,0.879727,2.140066,0.946999,0.060634,-0.828386,-0.059108,-0.553721,0.000776,-0.003523,0.000249,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527461214E+018,356.741154024581,False,6.980215,145.372035682624,52.7744910050556,2.75458906214174,3.50629952072252,144.835952509599,12.0347809497971,0,111,0.077492618788548,0.007679448708775,0.049567350756639,9.08749566666667,0.956148375,-3.73469920833333,0.879752,2.140001,0.947011,0.060672,-0.828336,-0.059221,-0.553779,-0.000345,0.007681,-0.000701,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
1.40371527466214E+018,363.129554444526,False,6.9799385,145.523401484929,52.758363822782,2.75830012419926,3.50868499972296,145.233371154629,12.0512808926947,0,111,0.05864306286701,0.031415926535898,0.05235987755983,9.21007879166667,0.375921583333333,-3.800076875,0.879781,2.139985,0.947024,0.060485,-0.828304,-0.059316,-0.553837,-0.000618,0.007612,0.002206,-0.002229,0.0207,0.07635,-0.012492,0.547666,0.069073
