timestamp,laplacian_variance,blur_bool,entropy,brightness,contrast,brightness_contrast_ratio,disparity_mean,disparity_var,disparity_std,disparity_min,disparity_max,w_x,d_wx,w_y,d_wy,w_z,d_wz,w,d_w,a_x,d_ax,a_y,d_ay,a_z,d_az,a,d_a,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,d_vx,v_y,d_vy,v_z,d_vz,v,d_v,success
1403715888334060000.00,273.1748612,FALSE,7.015299,119.1829981,56.83914526,2.096847121,1.682435727,61.01607106,7.811278452,0,111,-0.002792527,0,0.025830873,0,0.077492619,0,0.081732112,0,9.087495667,0,0.457643667,0,-3.644804917,0,9.801868092,0,0.898029,2.028208,0.955711,0.051153,0.827881,-0.050831,0.556249,0.005925,0,-0.011939,0,-0.007347,0,0.01521919,0,1
1403715888384060000.00,272.7102278,FALSE,7.014884,119.253197,56.82140364,2.098737261,1.6080511,54.14384288,7.358249988,0,111,-0.002094395,0.000698132,0.018849556,0.006981317,0.07819075,0.000698132,0.080457975,0.007050785,9.062979042,0.024516625,0.400438208,0.057205458,-3.620288292,0.024516625,9.767518988,0.066892408,0.898059,2.028148,0.955674,0.051146,0.827886,-0.050832,0.556242,0.005799,0.000126,-0.011837,0.000102,-0.00733,1.70E-05,0.015082171,0.000163,1
1403715888434060000.00,272.7829369,FALSE,7.0148396,119.220102,56.8315325,2.097780874,1.687367887,61.48743924,7.841392685,0,111,-0.000698132,0.002094395,0.023038346,0.002792527,0.076794487,0.000698132,0.080178838,0.003559787,9.087495667,0,0.384093792,0.073549875,-3.661149333,0.016344417,9.804800864,0.075344038,0.898305,2.027639,0.95535,0.051138,0.82791,-0.050863,0.556205,0.004145,0.00178,-0.008787,0.003152,-0.005717,0.00163,0.011272821,0.003969938,1
1403715888484060000.00,272.4952596,FALSE,7.0145698,119.2542996,56.82890871,2.098479495,1.639828859,59.41825324,7.708323634,0,111,-0.002792527,0,0.014660766,0.011170107,0.074700092,0.002792527,0.076176374,0.011513883,9.144701125,0.057205458,0.400438208,0.057205458,-3.6284605,0.016344417,9.846402136,0.082535258,0.898479,2.027255,0.955092,0.051116,0.827938,-0.050852,0.556166,0.002847,0.003078,-0.006751,0.005188,-0.004012,0.003335,0.008353296,0.00689287,1
1403715888534060000.00,273.3081261,FALSE,7.0145507,119.2174922,56.84633687,2.097188646,1.706848058,60.50946558,7.77878304,0,111,0,0.002792527,0.017453293,0.00837758,0.07819075,0.000698132,0.080114985,0.008858298,9.095667875,0.008172208,0.433127042,0.024516625,-3.652977125,0.008172208,9.811371719,0.027104149,0.898602,2.027007,0.954911,0.051051,0.827945,-0.05086,0.556161,0.001991,0.003934,-0.004085,0.007854,-0.002911,0.004436,0.005396779,0.00984072,1
1403715888584060000.00,273.2696158,FALSE,7.014462,119.3416168,56.83066128,2.099951225,1.668552437,59.28217133,7.699491628,0,111,-0.004886922,0.002094395,0.020245819,0.005585054,0.076794487,0.000698132,0.07956864,0.006005556,9.062979042,0.024516625,0.408610417,0.04903325,-3.636632708,0.008172208,9.773927002,0.055426614,0.898682,2.026851,0.954783,0.051068,0.827987,-0.050866,0.556095,0.001055,0.00487,-0.002586,0.009353,-0.001758,0.005589,0.003300149,0.011934506,1
1403715888634060000.00,271.9760858,FALSE,7.01437,119.2283328,56.84662042,2.097368883,1.617990913,55.05133864,7.41965893,0,111,-0.002094395,0.000698132,0.021642083,0.00418879,0.080285146,0.002792527,0.083177346,0.005082475,9.062979042,0.024516625,0.375921583,0.081722083,-3.6284605,0.016344417,9.769576846,0.086871766,0.898715,2.026779,0.95472,0.051058,0.827996,-0.050908,0.55608,0.000394,0.005531,-0.000815,0.011124,-0.000376,0.006971,0.000980223,0.014245356,1
1403715888684060000.00,273.4900811,FALSE,7.013772,119.304995,56.82716624,2.099435937,1.674498386,59.36437513,7.70482804,0,111,-0.002792527,0,0.023038346,0.002792527,0.076096355,0.001396263,0.079556388,0.00312214,9.128356708,0.040861042,0.384093792,0.073549875,-3.669321542,0.024516625,9.845727236,0.087637171,0.898716,2.026764,0.954709,0.051072,0.828017,-0.050898,0.556048,-0.000331,0.006256,-0.000175,0.011764,6.50E-05,0.007412,0.000380014,0.015246868,1
1403715888734060000.00,273.449259,FALSE,7.0134897,119.3000249,56.84086301,2.098842604,1.633908882,56.78578939,7.535634638,0,111,0.000698132,0.003490659,0.018151424,0.007679449,0.078888882,0.001396263,0.08095318,0.008550332,9.103840083,0.016344417,0.375921583,0.081722083,-3.67749375,0.032688833,9.825740765,0.089522057,0.898683,2.026782,0.954707,0.05103,0.828029,-0.050918,0.556031,-0.001022,0.006947,0.000391,0.01233,4.00E-06,0.007351,0.001094249,0.01594763,1
1403715888784060000.00,273.0541849,FALSE,7.0141387,119.2965398,56.84410415,2.098661621,1.686477899,59.81970598,7.734320008,0,111,0.000698132,0.003490659,0.023038346,0.002792527,0.080285146,0.002792527,0.083528183,0.005270779,9.103840083,0.016344417,0.416782625,0.040861042,-3.620288292,0.024516625,9.806125603,0.050376875,0.898623,2.026821,0.954716,0.051031,0.828058,-0.050893,0.55599,-0.001218,0.007143,0.000877,0.012816,0.000458,0.007805,0.001569209,0.016618975,1
