timestamp,laplacian_variance,blur_bool,entropy,brightness,contrast,brightness_contrast_ratio,disparity_mean,disparity_var,disparity_std,disparity_min,disparity_max,w_x,d_wx,w_y,d_wy,w_z,d_wz,w,d_w,a_x,d_ax,a_y,d_ay,a_z,d_az,a,d_a,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,d_vx,v_y,d_vy,v_z,d_vz,v,d_v
1.40E+18,273.1748612,FALSE,7.015299,119.1829981,56.83914526,2.096847121,1.682435727,61.01607106,7.811278452,0,111,-0.002792527,0,0.025830873,0,0.077492619,0,0.081732112,0,9.087495667,0,0.457643667,0,-3.644804917,0,9.801868092,0,0.898029,2.028208,0.955711,0.051153,0.827881,-0.050831,0.556249,0.005925,0,-0.011939,0,-0.007347,0,0.01521919,0
1.40E+18,272.7102278,FALSE,7.014884,119.253197,56.82140364,2.098737261,1.6080511,54.14384288,7.358249988,0,111,-0.002094395,0.000698132,0.018849556,0.006981317,0.07819075,0.000698132,0.080457975,0.007050785,9.062979042,0.024516625,0.400438208,0.057205458,-3.620288292,0.024516625,9.767518988,0.066892408,0.898059,2.028148,0.955674,0.051146,0.827886,-0.050832,0.556242,0.005799,0.000126,-0.011837,0.000102,-0.00733,1.7E-05,0.015082171,0.000163
1.40E+18,272.7829369,FALSE,7.0148396,119.220102,56.8315325,2.097780874,1.687367887,61.48743924,7.841392685,0,111,-0.000698132,0.001396263,0.023038346,0.00418879,0.076794487,0.001396263,0.080178838,0.004630882,9.087495667,0.024516625,0.384093792,0.016344417,-3.661149333,0.040861042,9.804800864,0.050376875,0.898305,2.027639,0.95535,0.051138,0.82791,-0.050863,0.556205,0.004145,0.001654,-0.008787,0.00305,-0.005717,0.001613,0.011272821,0.003826223
1.40E+18,272.4952596,FALSE,7.0145698,119.2542996,56.82890871,2.098479495,1.639828859,59.41825324,7.708323634,0,111,-0.002792527,0.002094395,0.014660766,0.00837758,0.074700092,0.002094395,0.076176374,0.008885766,9.144701125,0.057205458,0.400438208,0.016344417,-3.6284605,0.032688833,9.846402136,0.067883461,0.898479,2.027255,0.955092,0.051116,0.827938,-0.050852,0.556166,0.002847,0.001298,-0.006751,0.002036,-0.004012,0.001705,0.008353296,0.002955863
1.40E+18,273.3081261,FALSE,7.0145507,119.2174922,56.84633687,2.097188646,1.706848058,60.50946558,7.77878304,0,111,0,0.002792527,0.017453293,0.002792527,0.07819075,0.003490659,0.080114985,0.005270779,9.095667875,0.04903325,0.433127042,0.032688833,-3.652977125,0.024516625,9.811371719,0.063826987,0.898602,2.027007,0.954911,0.051051,0.827945,-0.05086,0.556161,0.001991,0.000856,-0.004085,0.002666,-0.002911,0.001101,0.005396779,0.003008736
1.40E+18,273.2696158,FALSE,7.014462,119.3416168,56.83066128,2.099951225,1.668552437,59.28217133,7.699491628,0,111,-0.004886922,0.004886922,0.020245819,0.002792527,0.076794487,0.001396263,0.07956864,0.005799117,9.062979042,0.032688833,0.408610417,0.024516625,-3.636632708,0.016344417,9.773927002,0.044008689,0.898682,2.026851,0.954783,0.051068,0.827987,-0.050866,0.556095,0.001055,0.000936,-0.002586,0.001499,-0.001758,0.001153,0.003300149,0.002110096
1.40E+18,271.9760858,FALSE,7.01437,119.2283328,56.84662042,2.097368883,1.617990913,55.05133864,7.41965893,0,111,-0.002094395,0.002792527,0.021642083,0.001396263,0.080285146,0.003490659,0.083177346,0.00468321,9.062979042,0,0.375921583,0.032688833,-3.6284605,0.008172208,9.769576846,0.033694878,0.898715,2.026779,0.95472,0.051058,0.827996,-0.050908,0.55608,0.000394,0.000661,-0.000815,0.001771,-0.000376,0.001382,0.000980223,0.002341642
1.40E+18,273.4900811,FALSE,7.013772,119.304995,56.82716624,2.099435937,1.674498386,59.36437513,7.70482804,0,111,-0.002792527,0.000698132,0.023038346,0.001396263,0.076096355,0.00418879,0.079556388,0.004470224,9.128356708,0.065377667,0.384093792,0.008172208,-3.669321542,0.040861042,9.845727236,0.077528376,0.898716,2.026764,0.954709,0.051072,0.828017,-0.050898,0.556048,-0.000331,0.000725,-0.000175,0.00064,6.50E-05,0.000441,0.000380014,0.001062876
1.40E+18,273.449259,FALSE,7.0134897,119.3000249,56.84086301,2.098842604,1.633908882,56.78578939,7.535634638,0,111,0.000698132,0.003490659,0.018151424,0.004886922,0.078888882,0.002792527,0.08095318,0.006623059,9.103840083,0.024516625,0.375921583,0.008172208,-3.67749375,0.008172208,9.825740765,0.027104149,0.898683,2.026782,0.954707,0.05103,0.828029,-0.050918,0.556031,-0.001022,0.000691,0.000391,0.000566,4.00E-06,0.000061,0.001094249,0.000895298
1.40E+18,273.0541849,FALSE,7.0141387,119.2965398,56.84410415,2.098661621,1.686477899,59.81970598,7.734320008,0,111,0.000698132,0,0.023038346,0.004886922,0.080285146,0.001396263,0.083528183,0.005082475,9.103840083,0,0.416782625,0.040861042,-3.620288292,0.057205458,9.806125603,0.070299994,0.898623,2.026821,0.954716,0.051031,0.828058,-0.050893,0.55599,-0.001218,0.000196,0.000877,0.000486,0.000458,0.000454,0.001569209,0.000693346
