timestamp,laplacian_variance,blur_bool,entropy,brightness,contrast,brightness_contrast_ratio,disparity_mean,disparity_var,disparity_std,disparity_min,disparity_max,w_x,d_wx,w_y,d_wy,w_z,d_wz,w,d_w,a_x,d_ax,a_y,d_ay,a_z,d_az,a,d_a,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,d_vx,v_y,d_vy,v_z,d_vz,v,d_v,success
1413394882705760000.00,278.6795207,FALSE,7.3065453,101.7616717,85.36468198,1.192081658,4.382281797,116.7858922,10.80675216,0,111,0.001396263,0,0.0286234,0,0.081681409,0,0.086562701,0,9.487933875,0,0.424954833,0,-2.811239667,0,9.904773813,0,-1.053289,0.42801,1.332836,0.604566,0.02664,-0.795382,0.03403,-0.018145,0,-0.009445,0,-0.00011,0,0.020456323,0,1
1413394882755760000.00,277.7342155,FALSE,7.3104153,101.776762,85.34902933,1.192477088,4.491315866,124.6588002,11.16507054,0,111,0.001396263,0,0.037699112,0.009075712,0.081681409,0,0.089972358,0.009075712,9.030290208,0.457643667,0.588399,0.163444167,-2.369940417,0.44129925,9.354623039,0.656427262,-1.053197,0.428061,1.332837,0.604566,0.026558,-0.795388,0.03395,-0.01865,0.000505,-0.010993,0.001548,-0.000378,0.000268,0.021652054,0.001650198,1
1413394882805760000.00,277.2133062,FALSE,7.309099,101.7407497,85.35817281,1.191927455,4.416008699,123.2153477,11.10024089,0,111,-0.030717795,0.032114058,0.013962634,0.023736478,0.089360858,0.007679449,0.095519113,0.040665797,9.56148375,0.531193542,0.318716125,0.269682875,-2.827584083,0.457643666,9.975910145,0.751221111,-1.053469,0.427944,1.332831,0.604567,0.026647,-0.795379,0.034058,-0.018002,0.000648,-0.003843,0.00715,-0.000936,0.000558,0.018431407,0.007200956,1
1413394882855760000.00,276.3376461,FALSE,7.3076105,101.5635666,85.32721724,1.190283357,4.342341603,114.5321028,10.70196724,0,111,-0.036302848,0.005585053,0.027925268,0.013962634,0.085172067,0.004188791,0.096705731,0.015610699,9.299973083,0.261510667,0.122583125,0.196133,-2.664139917,0.163444166,9.674821314,0.365472267,-1.054249,0.427682,1.332841,0.604516,0.026469,-0.795424,0.034083,-0.014317,0.003685,0.000245,0.004088,-6.00E-06,0.00093,0.014319097,0.005581744,1
1413394882905760000.00,276.4613573,FALSE,7.311522,101.7958693,85.32636636,1.193017747,4.295816884,120.1663507,10.96204136,0,111,-0.035604717,0.000698131,0.03281219,0.004886922,0.085870199,0.000698132,0.098580053,0.004985658,9.349006333,0.04903325,-0.302371708,0.424954833,-2.713173167,0.04903325,9.739438213,0.430575347,-1.054811,0.427514,1.332834,0.604567,0.026388,-0.795393,0.033929,-0.00846,0.005857,0.001416,0.001171,0.000956,0.000962,0.008630793,0.006049887,1
1413394882955760000.00,276.7546483,FALSE,7.3094563,101.6563331,85.36250402,1.190878059,4.384801294,121.7682377,11.03486464,0,111,-0.009075712,0.026529005,0.034208453,0.001396263,0.085870199,0,0.092877758,0.026565723,9.144701125,0.204305208,-0.433127042,0.130755334,-2.418973667,0.2941995,9.469138889,0.381301614,-1.055148,0.427327,1.332843,0.604553,0.026306,-0.795409,0.033891,-0.004835,0.003625,-0.001807,0.003223,-0.000382,0.001338,0.005175751,0.005031759,1
1413394883005760000.00,277.0601129,FALSE,7.31021,101.7707419,85.30558942,1.193013759,4.37620841,118.8844338,10.90341386,0,111,0.003490659,0.012566371,0.011170107,0.023038346,0.074700092,0.011170107,0.075611241,0.028521051,9.455245042,0.310543917,-0.228821833,0.204305209,-2.688656542,0.269682875,9.832745915,0.459246117,-1.055394,0.4272,1.332795,0.604469,0.026283,-0.79547,0.033972,-0.003253,0.001582,-0.002127,0.00032,-0.001365,0.000983,0.004119389,0.001889818,1
1413394883055760000.00,277.7572413,FALSE,7.309909,101.4851092,85.32240999,1.189430879,4.555966208,129.47862,11.37886725,0,111,0.002094395,0.001396264,0.032114058,0.020943951,0.080983277,0.006283185,0.087143504,0.021910661,9.56148375,0.106238708,0.008172208,0.236994041,-2.6477955,0.040861042,9.921333544,0.262911512,-1.055522,0.42712,1.33281,0.604447,0.026329,-0.795484,0.034,-0.0013,0.001953,-0.002484,0.000357,-8.70E-05,0.001278,0.002804964,0.002361132,1
1413394883105760000.00,277.3703399,FALSE,7.307838,101.729754,85.33952878,1.192059008,4.445008623,120.301719,10.96821403,0,111,-0.013962634,0.016057029,0.03700098,0.004886922,0.076096355,0.004886922,0.085759448,0.017481195,9.602344792,0.040861042,0.171616375,0.163444167,-2.860272917,0.212477417,10.02076039,0.271164661,-1.0556,0.427055,1.332795,0.604462,0.026319,-0.795471,0.034053,-0.000583,0.000717,0.000263,0.002747,0.000932,0.001019,0.001130346,0.003016365,1
1413394883155760000.00,277.361192,FALSE,7.3084865,101.5706699,85.31266891,1.190569597,4.2397525,111.2180609,10.54599739,0,111,-0.013264502,0.000698132,0.030019663,0.006981317,0.07819075,0.002094395,0.084799296,0.007322067,9.152873333,0.449471459,-0.016344417,0.187960792,-2.639623292,0.220649625,9.525910377,0.534827177,-1.055659,0.427093,1.332806,0.604517,0.026338,-0.795431,0.033987,0.00054,0.001123,0.003874,0.003611,0.000549,0.000383,0.003949795,0.003800939,1
1413394883205760000.00,276.1920901,FALSE,7.313079,101.8065243,85.29429701,1.193591223,4.386958735,121.7331298,11.03327376,0,111,-0.018849556,0.005585054,0.030019663,0,0.092153385,0.013962635,0.098735669,0.015038218,9.308145292,0.155271959,-0.2941995,0.277855083,-2.606934458,0.032688834,9.670792594,0.319970918,-1.055665,0.427151,1.332809,0.604559,0.026241,-0.795404,0.033959,0.001304,0.000764,0.003288,0.000586,0.000517,0.000032,0.003574724,0.000963388,1
1413394883255760000.00,276.9672678,FALSE,7.308836,101.4463209,85.33482909,1.188803235,4.456672311,120.9033805,10.99560733,0,111,-0.010471976,0.00837758,0.022340214,0.007679449,0.087266463,0.004886922,0.090687281,0.012370925,9.357178542,0.04903325,-0.400438208,0.106238708,-2.574245625,0.032688833,9.713077863,0.121488611,-1.055653,0.427194,1.332843,0.604546,0.026153,-0.795415,0.033994,0.002103,0.000799,0.003339,5.10E-05,0.000272,0.000245,0.003955441,0.000837274,1
1413394883305760000.00,276.8020017,FALSE,7.3079524,101.7067071,85.30709808,1.192242022,4.466034671,123.9506451,11.1333124,0,111,0.011868239,0.022340215,0.013962634,0.00837758,0.086568331,0.000698132,0.088486644,0.023869571,9.635033625,0.277855083,-0.367749375,0.032688833,-2.925650583,0.351404958,10.07613735,0.449174188,-1.055595,0.427246,1.332856,0.604512,0.026153,-0.79544,0.034004,0.002765,0.000662,-0.000108,0.003447,-0.000973,0.001245,0.002933192,0.003724255,1
1413394883355760000.00,277.5716006,FALSE,7.311243,101.6733128,85.30208497,1.191920606,4.329291334,112.6050414,10.61155226,0,111,0.013962634,0.002094395,0.02443461,0.010471976,0.078888882,0.007679449,0.083758349,0.01315381,9.406211792,0.228821833,-0.081722083,0.286027292,-2.566073417,0.359577166,9.750293922,0.513290153,-1.055519,0.427247,1.332894,0.604449,0.026164,-0.795482,0.034145,0.002857,9.20E-05,-0.001142,0.001034,-0.000322,0.000651,0.00309359,0.001225325,1
1413394883405760000.00,277.0907026,FALSE,7.3093133,101.6862561,85.30942312,1.191969801,4.460298579,120.3479662,10.97032206,0,111,0.002094395,0.011868239,0.023038346,0.001396264,0.07400196,0.004886922,0.077533489,0.012910719,9.250939833,0.155271959,0.057205458,0.138927541,-2.713173167,0.14709975,9.640771177,0.25504623,-1.055499,0.427288,1.332923,0.604469,0.026224,-0.795464,0.034157,0.002335,0.000522,0.000632,0.001774,0.000962,0.001284,0.002603285,0.00225127,1
1413394883455760000.00,277.730136,FALSE,7.3117433,101.4142509,85.27351758,1.189281899,4.408431855,123.2145844,11.1002065,0,111,-0.004886922,0.006981317,0.03281219,0.009773844,0.074700092,0.000698132,0.081735094,0.012031384,9.471589458,0.220649625,0.114410917,0.057205459,-2.778550833,0.065377666,9.871395112,0.2371349,-1.055414,0.427355,1.332956,0.604474,0.026267,-0.795458,0.034169,0.003735,0.0014,0.001835,0.001203,0.000327,0.000635,0.004174252,0.001952033,1
1413394883505760000.00,277.0431263,FALSE,7.3107023,101.6213902,85.26776555,1.191791406,4.436914063,120.4072228,10.9730225,0,111,-0.017453293,0.012566371,0.02443461,0.00837758,0.080285146,0.005585054,0.085716814,0.016102495,9.398039583,0.073549875,-0.081722083,0.196133,-2.770378625,0.008172208,9.798205153,0.209629489,-1.055372,0.427417,1.332969,0.604513,0.02625,-0.795431,0.034116,0.002035,0.0017,0.00381,0.001975,0.001432,0.001105,0.004550599,0.002830486,1
1413394883555760000.00,277.2967142,FALSE,7.3139277,101.5959358,85.25678489,1.191646342,4.27892166,118.6718362,10.89366037,0,111,-0.001396263,0.01605703,0.023038346,0.001396264,0.090058989,0.009773843,0.092969546,0.018849556,9.26728425,0.130755333,-0.449471458,0.367749375,-2.655967708,0.114410917,9.650841747,0.406726466,-1.055358,0.427514,1.333009,0.604477,0.026226,-0.795462,0.034054,0.001903,0.000132,0.002938,0.000872,0.000603,0.000829,0.003552022,0.001210392,1
1413394883605760000.00,278.9520832,FALSE,7.3117466,101.6694204,85.27924363,1.192194209,4.459939813,119.530022,10.93297864,0,111,-0.000698132,0.000698131,0.041887902,0.018849556,0.069115038,0.020943951,0.080820617,0.028185852,9.569655958,0.302371708,0.138927542,0.588399,-2.811239667,0.155271959,9.975002982,0.679522931,-1.055385,0.427431,1.333094,0.604113,0.026618,-0.795732,0.033891,0.001431,0.000472,-0.000778,0.003716,0.006216,0.005613,0.006425862,0.006748126,1
1413394883655760000.00,271.097633,FALSE,7.3087864,101.4262217,85.23871421,1.189907927,4.438568678,125.979732,11.22406932,0,111,-0.022340214,0.021642082,-0.004886922,0.046774824,0.02443461,0.044680428,0.03346666,0.068210003,8.858673833,0.710982125,0.719154333,0.580226791,-2.337251583,0.473988084,9.189996191,1.032871442,-1.055216,0.427318,1.33317,0.60417,0.026695,-0.795674,0.034194,0.003921,0.00249,-0.001701,0.000923,-0.003145,0.009361,0.005306474,0.009730383,1
1413394883705760000.00,275.1424139,FALSE,7.308825,101.5631898,85.21817352,1.191802002,4.345461928,118.2480229,10.87419068,0,111,-0.013264502,0.009075712,-0.003490659,0.001396263,0.055152404,0.030717794,0.05683238,0.032060895,9.349006333,0.4903325,0.171616375,0.547537958,-2.966511625,0.629260042,9.809870683,0.96757014,-1.055191,0.427347,1.333108,0.604347,0.026211,-0.795542,0.034525,0.000602,0.003319,-0.000307,0.001394,-5.00E-06,0.00314,0.00067578,0.004776882,1
1413394883755760000.00,276.7213454,FALSE,7.308655,101.4199219,85.23352714,1.189906429,4.429391241,121.0648126,11.00294563,0,111,-0.011868239,0.001396263,0.026529005,0.030019664,0.103323492,0.048171088,0.107333067,0.05677661,9.299973083,0.04903325,0.408610417,0.236994042,-2.79489525,0.171616375,9.719459927,0.296686056,-1.055198,0.427263,1.333074,0.604297,0.026357,-0.795584,0.034299,0.001232,0.00063,-0.000521,0.000214,-0.003977,0.003972,0.004195926,0.004027342,1
1413394883805760000.00,278.0652122,FALSE,7.3093996,101.3918994,85.30745163,1.188546809,4.429243891,123.2098437,11.09999296,0,111,-0.006981317,0.004886922,0.025830873,0.000698132,0.064926248,0.038397244,0.07022386,0.038713276,9.95374975,0.653776667,0.286027292,0.122583125,-3.023717083,0.228821833,10.40681559,0.703427313,-1.055115,0.427204,1.332946,0.604268,0.026407,-0.795613,0.034099,0.00201,0.000778,-0.001677,0.001156,-0.001329,0.002648,0.002935757,0.002992244,1
1413394883855760000.00,274.747605,FALSE,7.3108244,101.6446116,85.19253228,1.193116449,4.36821618,117.0908457,10.82085235,0,111,0.006981317,0.013962634,-0.023736478,0.049567351,0.076794487,0.011868239,0.080681797,0.05284631,9.389867375,0.563882375,0.065377667,0.220649625,-2.745862,0.277855083,9.783334896,0.666222963,-1.055044,0.427234,1.332908,0.60435,0.02618,-0.795552,0.034249,0.001639,0.000371,0.000865,0.002542,-0.004196,0.002867,0.004587043,0.003849558,1
1413394883905760000.00,275.1675227,FALSE,7.309492,101.2633228,85.26606783,1.187615723,4.372862125,114.0323301,10.67859214,0,111,-0.025132741,0.032114058,0.040491639,0.064228117,0.07819075,0.001396263,0.09156976,0.071822791,9.250939833,0.138927542,-0.661948875,0.727326542,-2.459834708,0.286027292,9.595251477,0.793798698,-1.055015,0.427281,1.33284,0.604465,0.026088,-0.795467,0.034259,0.003417,0.001778,0.006675,0.00581,0.001886,0.006082,0.007732303,0.008596982,1
1413394883955760000.00,274.8223958,FALSE,7.3101273,101.5923039,85.25822564,1.191583605,4.442121184,118.480424,10.88487133,0,111,-0.030019663,0.004886922,0.050963614,0.010471975,0.104021623,0.025830873,0.119661891,0.028298026,9.741272333,0.4903325,0.2941995,0.956148375,-2.99102825,0.531193542,10.19437051,1.198671037,-1.054994,0.427232,1.332747,0.604287,0.026244,-0.795601,0.03417,0.002945,0.000472,0.003748,0.002927,-1.20E-05,0.001898,0.004766621,0.003520301,1
1413394884005760000.00,274.8560392,FALSE,7.308925,101.6623421,85.2427796,1.192621153,4.448477151,119.7501686,10.94304202,0,111,0.006283185,0.036302848,-0.02443461,0.075398224,0.062831853,0.04118977,0.067707978,0.0932705,9.536967125,0.204305208,-0.269682875,0.563882375,-2.688656542,0.302371708,9.912383406,0.671664053,-1.054982,0.427284,1.33274,0.604452,0.026151,-0.795482,0.034099,-3.90E-05,0.002984,-0.00213,0.005878,-0.002022,0.00201,0.002937159,0.006891679,1
1413394884055760000.00,275.5034796,FALSE,7.3093524,101.4163896,85.26153208,1.189474164,4.241313961,116.1082312,10.77535295,0,111,-0.026529005,0.03281219,0.048869219,0.073303829,0.081681409,0.018849556,0.098812151,0.08249483,9.381695167,0.155271958,-0.016344417,0.253338458,-2.574245625,0.114410917,9.728474283,0.318401654,-1.055035,0.427263,1.332748,0.604432,0.026073,-0.795491,0.034288,0.000639,0.000678,0.003438,0.005568,0.001895,0.003917,0.003977335,0.006841432,1
1413394884105760000.00,277.1092209,FALSE,7.3108006,101.5863641,85.25861812,1.191508453,4.380392218,119.5516136,10.93396605,0,111,0.010471976,0.037000981,0.016057029,0.03281219,0.079587014,0.002094395,0.081863198,0.049498474,9.504278292,0.122583125,-0.212477417,0.196133,-2.762206417,0.187960792,9.899809937,0.298033615,-1.055117,0.427305,1.332692,0.604443,0.026144,-0.79549,0.034081,5.80E-05,0.000581,0.000122,0.003316,0.00036,0.001535,0.00038451,0.003699952,1
1413394884155760000.00,278.132444,FALSE,7.3104243,101.549795,85.23887058,1.191355473,4.330246426,116.3320759,10.78573483,0,111,-0.014660766,0.025132742,0.03281219,0.016755161,0.085870199,0.006283185,0.093087426,0.030852367,9.398039583,0.106238709,0.138927542,0.351404959,-2.754034208,0.008172209,9.794240822,0.367204158,-1.055159,0.427302,1.332697,0.604325,0.026085,-0.795574,0.034239,0.000951,0.000893,0.002293,0.002171,0.00024,0.00012,0.002493963,0.002350551,1
1413394884205760000.00,277.7410424,FALSE,7.311751,101.3223515,85.24174749,1.188647048,4.390315928,117.5382173,10.84150438,0,111,0.003490659,0.018151425,0.02443461,0.00837758,0.068416907,0.017453292,0.072733129,0.026538189,9.193734375,0.204305208,-0.416782625,0.555710167,-2.705000958,0.04903325,9.592470469,0.594103246,-1.05514,0.427362,1.332751,0.604489,0.026042,-0.795456,0.034119,0.002373,0.001422,0.001552,0.000741,0.000931,0.000691,0.002984392,0.001746037,1
1413394884255760000.00,276.5156776,FALSE,7.311557,101.6144781,85.27419774,1.191620452,4.306474228,115.6369593,10.75346267,0,111,-0.004886922,0.008377581,0.027227136,0.002792526,0.078888882,0.010471975,0.083598174,0.013698333,9.773961167,0.580226792,-0.016344417,0.400438208,-2.819411875,0.114410917,10.17249563,0.714215476,-1.055096,0.427348,1.332786,0.604346,0.026098,-0.795559,0.034232,0.001074,0.001299,-0.000605,0.002157,0.000806,0.000125,0.001472799,0.002521046,1
1413394884305760000.00,278.6537289,FALSE,7.3090396,101.329524,85.29723625,1.187957881,4.492630936,123.3132087,11.10464807,0,111,-0.005585054,0.000698132,0.023038346,0.00418879,0.073303829,0.005585053,0.077041609,0.007016136,9.447072833,0.326888334,0.016344417,0.032688834,-2.590590042,0.228821833,9.795846519,0.40035481,-1.055148,0.427328,1.332832,0.604321,0.026109,-0.795578,0.034191,0.000396,0.000678,0.001037,0.001642,0.001893,0.001087,0.002194455,0.002082647,1
1413394884355760000.00,277.1836796,FALSE,7.3088684,101.6927721,85.27727981,1.192495496,4.377431017,119.9910474,10.95404251,0,111,0.030717795,0.036302849,0.009075712,0.013962634,0.06143559,0.011868239,0.069284076,0.040665798,9.36535075,0.081722083,0.261510667,0.24516625,-2.754034208,0.163444166,9.765392307,0.305776036,-1.055173,0.427252,1.332893,0.604253,0.026259,-0.795628,0.034134,0.001342,0.000946,-0.003378,0.004415,0.000455,0.001438,0.003663178,0.004738669,1
1413394884405760000.00,274.0154005,FALSE,7.309684,101.5632619,85.26355777,1.191168472,4.451472462,121.7577393,11.03438894,0,111,0.045378561,0.014660766,0.039095375,0.030019663,0.077492619,0.016057029,0.097942678,0.037066783,9.496106083,0.130755333,0.367749375,0.106238708,-2.672312125,0.081722083,9.871804416,0.187248816,-1.055112,0.427226,1.332906,0.604317,0.026164,-0.795575,0.03431,0.001766,0.000424,-0.006214,0.002836,0.001466,0.001011,0.006624327,0.003040525,1
1413394884455760000.00,277.2271883,FALSE,7.3086753,101.3861425,85.29238525,1.188689262,4.400738309,119.5810881,10.93531381,0,111,0.016057029,0.029321532,0.02443461,0.014660765,0.09424778,0.016755161,0.098678885,0.036816106,9.234595417,0.261510666,-0.523021333,0.890770708,-2.288218333,0.384093792,9.5282342,1.004683196,-1.055123,0.427268,1.332991,0.60427,0.0261,-0.795619,0.034153,8.20E-05,0.001684,-0.000672,0.005542,0.004165,0.002699,0.00421966,0.006390166,1
1413394884505760000.00,279.1953475,FALSE,7.310171,101.4684231,85.30828942,1.189432162,4.362014489,116.4157555,10.78961332,0,111,-0.006981317,0.023038346,0.043982297,0.019547687,0.099832833,0.005585053,0.10931503,0.030725727,9.65955025,0.424954833,-0.032688833,0.4903325,-2.811239667,0.523021334,10.06037017,0.833404995,-1.055212,0.427208,1.332975,0.604117,0.026117,-0.795734,0.034183,0.001789,0.001707,0.002417,0.003089,-0.000635,0.0048,0.003073375,0.005957833,1
1413394884555760000.00,278.2160258,FALSE,7.310928,101.6227477,85.2854413,1.191560319,4.346537012,118.5932723,10.89005383,0,111,0.004886922,0.011868239,0.030717795,0.013264502,0.089360858,0.010471975,0.094619384,0.020651014,9.594172583,0.065377667,0.719154333,0.751843166,-2.745862,0.065377667,10.00525305,0.757506848,-1.055161,0.427185,1.332991,0.604208,0.026157,-0.795666,0.034127,0.002152,0.000363,-0.002004,0.004421,-0.000145,0.00049,0.002944171,0.004462859,1
1413394884605760000.00,277.0881204,FALSE,7.308605,101.6713265,85.31239655,1.191753257,4.433662317,120.4633896,10.97558152,0,111,0.018849556,0.013962634,-0.001396263,0.032114058,0.06143559,0.027925268,0.064277422,0.044789379,9.259112042,0.335060541,0.155271958,0.563882375,-2.623278875,0.122583125,9.62480427,0.667274697,-1.055172,0.427262,1.33296,0.604234,0.026009,-0.795651,0.034132,0.000232,0.00192,-0.002271,0.000267,-0.001565,0.00142,0.002767759,0.002402933,1
1413394884655760000.00,279.1303967,FALSE,7.309338,101.6179771,85.30681095,1.191205906,4.29347729,125.004669,11.18054869,0,111,0.010471976,0.00837758,0.027227136,0.028623399,0.076096355,0.014660765,0.081496224,0.033232828,9.626861417,0.367749375,-0.065377667,0.220649625,-2.933822792,0.310543917,10.0641965,0.529493517,-1.0552,0.427294,1.332934,0.604261,0.025965,-0.795629,0.034173,0.001288,0.001056,0.000519,0.00279,0.001192,0.002757,0.001830073,0.004062054,1
1413394884705760000.00,278.6544586,FALSE,7.3091984,101.7214262,85.28853209,1.192674135,4.576725434,128.3070923,11.32727206,0,111,0.031415927,0.020943951,0.027925268,0.000698132,0.109606677,0.033510322,0.117389969,0.039523134,9.103840083,0.523021334,0.073549875,0.138927542,-2.525212375,0.408610417,9.447857502,0.678096343,-1.055148,0.42732,1.332977,0.604272,0.026046,-0.795623,0.034063,0.001763,0.000475,-0.000349,0.000868,0.000497,0.000695,0.001864666,0.001209163,1
1413394884755760000.00,278.7854915,FALSE,7.309868,101.5111231,85.29067297,1.190178475,4.451282691,120.6390358,10.98358028,0,111,-0.010471976,0.041887903,0.011868239,0.016057029,0.071209433,0.038397244,0.072947246,0.059048903,9.046634625,0.057205458,-0.702809917,0.776359792,-2.40262925,0.122583125,9.386595077,0.788056859,-1.055179,0.427382,1.332949,0.604261,0.026023,-0.795636,0.033989,0.001287,0.000476,0.001967,0.002316,-0.000211,0.000708,0.00236008,0.002468136,1
1413394884805760000.00,278.0154158,FALSE,7.307416,101.7195617,85.33582071,1.191991369,4.33421224,118.9228253,10.90517424,0,111,-0.037699112,0.027227136,0.0286234,0.016755161,0.068416907,0.002792526,0.083194923,0.032091285,9.700411292,0.653776667,0.065377667,0.768187584,-2.745862,0.34323275,10.08176629,1.065525605,-1.055175,0.427337,1.333035,0.604271,0.026067,-0.795617,0.034224,0.002293,0.001006,0.003474,0.001507,0.00218,0.002391,0.004698822,0.002999994,1
1413394884855760000.00,277.6230474,FALSE,7.309962,101.6110594,85.3202545,1.190937134,4.336359811,118.8958742,10.90393847,0,111,0.022340214,0.060039326,0.057944931,0.029321531,0.085172067,0.01675516,0.105408639,0.068885472,9.259112042,0.44129925,0.760015375,0.694637708,-2.672312125,0.073549875,9.666955636,0.826242191,-1.055139,0.427438,1.333035,0.604328,0.026091,-0.795581,0.034026,0.002827,0.000534,-0.000357,0.003831,0.001426,0.000754,0.003186354,0.003940842,1
1413394884905760000.00,277.6475619,FALSE,7.3110967,101.5907275,85.31587728,1.190759924,4.474964504,119.2884738,10.92192628,0,111,0.002094395,0.020245819,-0.006981317,0.064926248,0.079587014,0.005585053,0.079920073,0.068238579,9.80665,0.547537958,-0.776359792,1.536375167,-2.999200458,0.326888333,10.28437271,1.663460986,-1.055178,0.427569,1.332993,0.604291,0.025895,-0.795611,0.034131,-0.001006,0.003833,0.000605,0.000962,-0.004157,0.005583,0.004319573,0.006840119,1
1413394884955760000.00,277.6459431,FALSE,7.3102913,101.7340398,85.31553801,1.19244445,4.396350531,119.5939781,10.93590317,0,111,0.003490659,0.001396264,0.039095375,0.046076692,0.091455253,0.011868239,0.099522341,0.047601115,9.242767625,0.563882375,0.106238708,0.8825985,-2.459834708,0.53936575,9.565083733,1.178074216,-1.055157,0.42748,1.332947,0.60445,0.026013,-0.795485,0.03416,0.002774,0.00378,-2.00E-06,0.000607,-0.000641,0.003516,0.002847097,0.00519799,1
